#iterative separation between p-node lists
#step s1 s2 s3 s4
381 0.0021 0.0016 0.0016 0.0021
382 0.0021 0.0016 0.0016 0.0021
383 0.0021 0.0017 0.0017 0.0021
384 0.0021 0.0017 0.0017 0.0021
385 0.0021 0.0017 0.0017 0.0021
386 0.0022 0.0017 0.0017 0.0022
387 0.0019 0.0015 0.0015 0.0019
388 0.0019 0.0016 0.0016 0.0019
389 0.0019 0.0016 0.0016 0.0019
390 0.0019 0.0016 0.0016 0.0019
391 0.0019 0.0016 0.0016 0.0019
392 0.0019 0.0016 0.0016 0.0019
393 0.0019 0.0016 0.0016 0.0019
394 0.0019 0.0016 0.0016 0.0019
395 0.0019 0.0016 0.0016 0.0019
396 0.0019 0.0016 0.0016 0.0019
397 0.0019 0.0016 0.0016 0.0019
398 0.0019 0.0017 0.0017 0.0019
399 0.0019 0.0017 0.0017 0.0019
400 0.0019 0.0017 0.0017 0.0019
401 0.0019 0.0017 0.0017 0.0019
402 0.0020 0.0017 0.0017 0.0020
403 0.0020 0.0017 0.0017 0.0020
404 0.0020 0.0017 0.0017 0.0020
405 0.0020 0.0017 0.0017 0.0020
406 0.0020 0.0018 0.0018 0.0020
407 0.0020 0.0018 0.0018 0.0020
408 0.0020 0.0018 0.0018 0.0020
409 0.0020 0.0018 0.0018 0.0020
410 0.0020 0.0018 0.0018 0.0020
411 0.0020 0.0018 0.0018 0.0020
412 0.0020 0.0018 0.0018 0.0020
413 0.0020 0.0019 0.0018 0.0020
414 0.0020 0.0019 0.0019 0.0020
415 0.0020 0.0019 0.0019 0.0020
416 0.0020 0.0019 0.0019 0.0020
417 0.0020 0.0019 0.0019 0.0020
418 0.0020 0.0019 0.0019 0.0020
419 0.0020 0.0019 0.0019 0.0020
420 0.0020 0.0019 0.0019 0.0020
421 0.0020 0.0019 0.0019 0.0020
422 0.0020 0.0019 0.0019 0.0020
423 0.0020 0.0019 0.0019 0.0020
424 0.0020 0.0019 0.0019 0.0020
425 0.0020 0.0019 0.0019 0.0020
426 0.0019 0.0019 0.0019 0.0019
427 0.0019 0.0019 0.0019 0.0019
428 0.0019 0.0019 0.0019 0.0019
429 0.0019 0.0019 0.0019 0.0019
430 0.0019 0.0019 0.0019 0.0019
431 0.0020 0.0019 0.0019 0.0020
432 0.0019 0.0018 0.0018 0.0019
433 0.0019 0.0018 0.0018 0.0019
434 0.0019 0.0018 0.0018 0.0019
435 0.0019 0.0018 0.0018 0.0019
436 0.0019 0.0018 0.0018 0.0019
437 0.0019 0.0018 0.0018 0.0019
438 0.0019 0.0019 0.0019 0.0019
439 0.0019 0.0019 0.0019 0.0019
440 0.0019 0.0019 0.0019 0.0019
441 0.0019 0.0019 0.0019 0.0019
442 0.0019 0.0019 0.0019 0.0019
443 0.0019 0.0019 0.0019 0.0019
444 0.0019 0.0019 0.0019 0.0019
445 0.0020 0.0020 0.0020 0.0020
446 0.0020 0.0020 0.0020 0.0020
447 0.0020 0.0020 0.0020 0.0020
448 0.0020 0.0020 0.0020 0.0020
449 0.0021 0.0021 0.0021 0.0021
450 0.0021 0.0021 0.0021 0.0021
451 0.0021 0.0022 0.0022 0.0021
452 0.0022 0.0022 0.0022 0.0022
453 0.0022 0.0022 0.0022 0.0022
454 0.0023 0.0023 0.0023 0.0023
455 0.0023 0.0023 0.0023 0.0023
456 0.0024 0.0024 0.0024 0.0024
457 0.0024 0.0024 0.0024 0.0024
458 0.0020 0.0021 0.0021 0.0020
459 0.0021 0.0021 0.0021 0.0021
460 0.0021 0.0021 0.0021 0.0021
461 0.0021 0.0021 0.0021 0.0021
462 0.0021 0.0021 0.0021 0.0021
463 0.0021 0.0021 0.0021 0.0021
464 0.0021 0.0022 0.0022 0.0021
465 0.0021 0.0022 0.0022 0.0021
466 0.0022 0.0022 0.0022 0.0022
467 0.0022 0.0022 0.0022 0.0022
468 0.0020 0.0021 0.0021 0.0020
469 0.0020 0.0021 0.0021 0.0020
470 0.0020 0.0021 0.0021 0.0020
471 0.0020 0.0021 0.0021 0.0020
472 0.0020 0.0021 0.0021 0.0020
473 0.0020 0.0021 0.0021 0.0020
474 0.0020 0.0021 0.0021 0.0020
475 0.0020 0.0021 0.0021 0.0020
476 0.0021 0.0021 0.0021 0.0021
477 0.0021 0.0021 0.0021 0.0021
478 0.0021 0.0021 0.0021 0.0021
479 0.0021 0.0021 0.0021 0.0021
480 0.0021 0.0021 0.0021 0.0021
481 0.0021 0.0021 0.0021 0.0021
482 0.0021 0.0022 0.0022 0.0021
483 0.0021 0.0022 0.0022 0.0021
484 0.0021 0.0022 0.0022 0.0021
485 0.0021 0.0022 0.0022 0.0021
486 0.0021 0.0022 0.0022 0.0021
487 0.0021 0.0022 0.0022 0.0021
488 0.0021 0.0022 0.0022 0.0021
489 0.0021 0.0022 0.0022 0.0021
490 0.0021 0.0022 0.0022 0.0021
491 0.0021 0.0022 0.0022 0.0021
492 0.0021 0.0022 0.0022 0.0021
493 0.0022 0.0023 0.0023 0.0022
494 0.0022 0.0023 0.0023 0.0022
495 0.0022 0.0023 0.0023 0.0022
496 0.0022 0.0023 0.0023 0.0022
497 0.0022 0.0023 0.0023 0.0022
498 0.0022 0.0023 0.0023 0.0022
499 0.0022 0.0023 0.0023 0.0022
500 0.0022 0.0023 0.0023 0.0022
501 0.0022 0.0023 0.0023 0.0022
502 0.0022 0.0023 0.0023 0.0022
503 0.0022 0.0023 0.0023 0.0022
504 0.0022 0.0023 0.0023 0.0022
505 0.0022 0.0023 0.0023 0.0022
506 0.0022 0.0023 0.0023 0.0022
507 0.0022 0.0023 0.0023 0.0022
508 0.0021 0.0023 0.0023 0.0021
